"","Occupation","Category","WomenAverageAnnualSalary","MenAverageAnnualSalary","PayGap","PayGapAsAPercentage","Country","Currency","WomenAverageAnnualSalaryEUR","MenAverageAnnualSalaryEUR","salaryGapEUR"
"64","Real estate","sales & serving others",37752,51532,13780,0.365,"US","USD",34354.32,46894.12,12539.8
"65","Drivers","sales & serving others",28340,38428,10088,0.356,"US","USD",25789.4,34969.48,9180.08
"66","Insurance sales","sales & serving others",36296,49192,12896,0.3553,"US","USD",33029.36,44764.72,11735.36
"67","Food service manager","sales & serving others",30940,41912,10972,0.3546,"US","USD",28155.4,38139.92,9984.52
"68","Training","sales & serving others",49660,66560,16900,0.3403,"US","USD",45190.6,60569.6,15379
"69","Retail supervisors","sales & serving others",30940,41236,10296,0.3328,"US","USD",28155.4,37524.76,9369.36
"70","Clergy","sales & serving others",39676,52364,12688,0.3198,"US","USD",36105.16,47651.24,11546.08
"71","Janitors","sales & serving others",21580,28080,6500,0.3012,"US","USD",19637.8,25552.8,5915
"72","Credit counselors","sales & serving others",47580,61776,14196,0.2984,"US","USD",43297.8,56216.16,12918.36
"73","Retail sales","sales & serving others",39832,51272,11440,0.2872,"US","USD",36247.12,46657.52,10410.4
"74","Wholesale reps","sales & serving others",45396,58240,12844,0.2829,"US","USD",41310.36,52998.4,11688.04
"75","Service occupations","sales & serving others",23972,30316,6344,0.2646,"US","USD",21814.52,27587.56,5773.04
"76","Transportation","sales & serving others",43472,52728,9256,0.2129,"US","USD",39559.52,47982.48,8422.96
"77","Waiters & bartenders","sales & serving others",21840,26468,4628,0.2119,"US","USD",19874.4,24085.88,4211.48
"78","Waiters & waitresses","sales & serving others",21580,26052,4472,0.2072,"US","USD",19637.8,23707.32,4069.52
"79","Postal service","sales & serving others",44252,53300,9048,0.2045,"US","USD",40269.32,48503,8233.68
"80","Claims adjusters","sales & serving others",47216,56836,9620,0.2037,"US","USD",42966.56,51720.76,8754.2
"81","Wholesale buyers","sales & serving others",41912,50440,8528,0.2035,"US","USD",38139.92,45900.4,7760.48
"82","Catering supervisors","sales & serving others",25220,30316,5096,0.2021,"US","USD",22950.2,27587.56,4637.36
"83","Advertising sales","sales & serving others",45292,54132,8840,0.1952,"US","USD",41215.72,49260.12,8044.4
"84","Butchers","sales & serving others",23764,27924,4160,0.1751,"US","USD",21625.24,25410.84,3785.6
"85","Purchasers","sales & serving others",46644,54808,8164,0.175,"US","USD",42446.04,49875.28,7429.24
"86","Customer services","sales & serving others",31512,36296,4784,0.1518,"US","USD",28675.92,33029.36,4353.44
"87","Pharmacists","sales & serving others",98904,113152,14248,0.1441,"US","USD",90002.64,102968.32,12965.68
"88","Sales supervisors","sales & serving others",45656,52208,6552,0.1435,"US","USD",41546.96,47509.28,5962.32
"89","Dispatchers","sales & serving others",34788,39728,4940,0.142,"US","USD",31657.08,36152.48,4495.4
"90","Chefs & head cooks","sales & serving others",27612,31252,3640,0.1318,"US","USD",25126.92,28439.32,3312.4
"91","Insurance clerks","sales & serving others",32864,36868,4004,0.1218,"US","USD",29906.24,33549.88,3643.64
"92","Bakers","sales & serving others",24388,26936,2548,0.1045,"US","USD",22193.08,24511.76,2318.68
"93","Tellers","sales & serving others",26364,28288,1924,0.073,"US","USD",23991.24,25742.08,1750.84
"94","Purchasing managers","sales & serving others",66352,71032,4680,0.0705,"US","USD",60380.32,64639.12,4258.8
"95","Counselors","sales & serving others",43212,46020,2808,0.065,"US","USD",39322.92,41878.2,2555.28000000001
"96","Cashiers","sales & serving others",20124,21424,1300,0.0646,"US","USD",18312.84,19495.84,1183
"97","Bus drivers","sales & serving others",30264,32032,1768,0.0584,"US","USD",27540.24,29149.12,1608.88
"98","Food service","sales & serving others",19396,19968,572,0.0295,"US","USD",17650.36,18170.88,520.52
"99","Cooks","sales & serving others",21060,21632,572,0.0272,"US","USD",19164.6,19685.12,520.519999999997
"100","Food preparation","sales & serving others",20852,21372,520,0.0249,"US","USD",18975.32,19448.52,473.200000000001
"101","Housekeeping","sales & serving others",20800,21008,208,0.01,"US","USD",18928,19117.28,189.279999999999
"102","Stock clerks","sales & serving others",26728,26208,-520,-0.0195,"US","USD",24322.48,23849.28,-473.199999999997
"103","Science, tech & engineering","science, tech & engineering",51021,61057,10036,0.2046,"US","USD",46429.11,55561.87,9132.76
"104","Production supervisors","science, tech & engineering",34268,48984,14716,0.4294,"US","USD",31183.88,44575.44,13391.56
"105","Inspectors & testers","science, tech & engineering",30056,42640,12584,0.4187,"US","USD",27350.96,38802.4,11451.44
"106","Production","science, tech & engineering",26104,36972,10868,0.4163,"US","USD",23754.64,33644.52,9889.88
"107","Engineering","science, tech & engineering",40820,55432,14612,0.358,"US","USD",37146.2,50443.12,13296.92
"108","Medical scientists","science, tech & engineering",59332,75348,16016,0.2699,"US","USD",53992.12,68566.68,14574.56
"109","Market research","science, tech & engineering",52104,65988,13884,0.2665,"US","USD",47414.64,60049.08,12634.44
"110","IT support","science, tech & engineering",43524,54548,11024,0.2533,"US","USD",39606.84,49638.68,10031.84
"111","Assembly","science, tech & engineering",26312,32916,6604,0.251,"US","USD",23943.92,29953.56,6009.64
"112","IT & math","science, tech & engineering",60580,74620,14040,0.2318,"US","USD",55127.8,67904.2,12776.4
"113","Diagnostics","science, tech & engineering",48880,60112,11232,0.2298,"US","USD",44480.8,54701.92,10221.12
"114","Physical scientists","science, tech & engineering",65624,80444,14820,0.2258,"US","USD",59717.84,73204.04,13486.2
"115","Architecture","science, tech & engineering",60216,73476,13260,0.2202,"US","USD",54796.56,66863.16,12066.6
"116","Medical managers","science, tech & engineering",63180,75296,12116,0.1918,"US","USD",57493.8,68519.36,11025.56
"117","Software developers","science, tech & engineering",75764,90272,14508,0.1915,"US","USD",68945.24,82147.52,13202.28
"118","Operations managers","science, tech & engineering",59072,70200,11128,0.1884,"US","USD",53755.52,63882,10126.48
"119","Operations analysts","science, tech & engineering",64116,75764,11648,0.1817,"US","USD",58345.56,68945.24,10599.68
"120","Social science","science, tech & engineering",55224,64844,9620,0.1742,"US","USD",50253.84,59008.04,8754.2
"121","IT analysts","science, tech & engineering",65468,75920,10452,0.1597,"US","USD",59575.88,69087.2,9511.31999999999
"122","Programmers","science, tech & engineering",65156,75244,10088,0.1548,"US","USD",59291.96,68472.04,9180.08000000001
"123","IT managers","science, tech & engineering",79508,91676,12168,0.153,"US","USD",72352.28,83425.16,11072.88
"124","IT","science, tech & engineering",51168,58344,7176,0.1402,"US","USD",46562.88,53093.04,6530.16
"125","Maintenance","science, tech & engineering",37700,42848,5148,0.1366,"US","USD",34307,38991.68,4684.68
"126","Compliance officers","science, tech & engineering",56784,64324,7540,0.1328,"US","USD",51673.44,58534.84,6861.4
"127","Civil engineers","science, tech & engineering",66300,73112,6812,0.1027,"US","USD",60333,66531.92,6198.92
"128","Machine operators","science, tech & engineering",24804,27144,2340,0.0943,"US","USD",22571.64,24701.04,2129.4
"129","Science techs","science, tech & engineering",41860,45344,3484,0.0832,"US","USD",38092.6,41263.04,3170.44
"130","Lab techs","science, tech & engineering",42536,45656,3120,0.0733,"US","USD",38707.76,41546.96,2839.2
"131","Health technicians","science, tech & engineering",32136,32136,0,0,"US","USD",29243.76,29243.76,0
"132","Senior managers & execs","senior managers & execs",56883,78447,21564,0.3779,"US","USD",51763.53,71386.77,19623.24
"133","Financial advisors","senior managers & execs",52208,85124,32916,0.6305,"US","USD",47509.28,77462.84,29953.56
"134","Financial services","senior managers & execs",45916,70512,24596,0.5357,"US","USD",41783.56,64165.92,22382.36
"135","Financial managers","senior managers & execs",58604,86892,28288,0.4827,"US","USD",53329.64,79071.72,25742.08
"136","Chief executives","senior managers & execs",81744,116792,35048,0.4288,"US","USD",74387.04,106280.72,31893.68
"137","Management analysts","senior managers & execs",64428,86580,22152,0.3438,"US","USD",58629.48,78787.8,20158.32
"138","Financial operations","senior managers & execs",54912,73632,18720,0.3409,"US","USD",49969.92,67005.12,17035.2
"139","Business operations","senior managers & execs",49088,63908,14820,0.3019,"US","USD",44670.08,58156.28,13486.2
"140","Management","senior managers & execs",58604,75608,17004,0.2902,"US","USD",53329.64,68803.28,15473.64
"141","Financial analysts","senior managers & execs",63648,77636,13988,0.2198,"US","USD",57919.68,70648.76,12729.08
"142","Office supervisor","senior managers & execs",39676,47788,8112,0.2045,"US","USD",36105.16,43487.08,7381.92
"143","Admin & organisation","admin & organisation",20380,25311,4930,0.2369,"UK","UKP",23844.6,29613.87,5769.27
"144","Receptionists","admin & organisation",12009,13281,1272,0.1059,"UK","UKP",14050.53,15538.77,1488.24
"145","Secretaries","admin & organisation",14614,15315,701,0.048,"UK","UKP",17098.38,17918.55,820.170000000002
"146","Admin","admin & organisation",14594,18729,4135,0.2833,"UK","UKP",17074.98,21912.93,4837.95
"147","Stock control","admin & organisation",17271,20538,3267,0.1892,"UK","UKP",20207.07,24029.46,3822.39
"148","Records admin","admin & organisation",17247,21861,4614,0.2675,"UK","UKP",20178.99,25577.37,5398.38
"149","Finance admin","admin & organisation",17536,22788,5252,0.2995,"UK","UKP",20517.12,26661.96,6144.84
"150","Government admin","admin & organisation",19287,23047,3760,0.1949,"UK","UKP",22565.79,26964.99,4399.2
"151","Transport clerks","admin & organisation",20130,24281,4151,0.2062,"UK","UKP",23552.1,28408.77,4856.67
"152","Local govt. admin","admin & organisation",19317,25496,6179,0.3199,"UK","UKP",22600.89,29830.32,7229.43
"153","Payroll & accounts","admin & organisation",17914,25744,7830,0.4371,"UK","UKP",20959.38,30120.48,9161.1
"154","Human resources","admin & organisation",25376,30153,4777,0.1882,"UK","UKP",29689.92,35279.01,5589.09
"155","Research & admin","admin & organisation",31261,34986,3725,0.1192,"UK","UKP",36575.37,40933.62,4358.25
"156","Accountants","admin & organisation",30122,40427,10305,0.3421,"UK","UKP",35242.74,47299.59,12056.85
"157","Housing managers","admin & organisation",28648,37701,9053,0.316,"UK","UKP",33518.16,44110.17,10592.01
"158","Care & education","care & education",24341,29575,5234,0.211,"UK","UKP",28478.97,34602.75,6123.78
"159","Welfare & housing","care & education",19130,22335,3205,0.1675,"UK","UKP",22382.1,26131.95,3749.85
"160","Youth & community","care & education",21281,22817,1536,0.0722,"UK","UKP",24898.77,26695.89,1797.12
"161","Social care officers","care & education",20674,25514,4840,0.2341,"UK","UKP",24188.58,29851.38,5662.8
"162","Housing officers","care & education",23275,25656,2381,0.1023,"UK","UKP",27231.75,30017.52,2785.77
"163","Paramedics","care & education",34764,37078,2314,0.0666,"UK","UKP",40673.88,43381.26,2707.38
"164","Childcare","care & education",11092,12880,1788,0.1612,"UK","UKP",12977.64,15069.6,2091.96
"165","Teaching assistants","care & education",10931,13391,2460,0.225,"UK","UKP",12789.27,15667.47,2878.2
"166","Care workers","care & education",12204,16271,4067,0.3333,"UK","UKP",14278.68,19037.07,4758.39
"167","Dental nurses","care & education",14025,17372,3347,0.2386,"UK","UKP",16409.25,20325.24,3915.99
"168","Nursing assistants","care & education",15034,17880,2846,0.1893,"UK","UKP",17589.78,20919.6,3329.82
"169","Senior care workers","care & education",15189,19681,4492,0.2957,"UK","UKP",17771.13,23026.77,5255.64
"170","Ambulance staff","care & education",19460,23126,3666,0.1884,"UK","UKP",22768.2,27057.42,4289.22
